prize;discipline;year;laureate;motivation
Nobel Prize;physics;1964;Charles Hard Townes (US), Nicolay Gennadiyevich Basov (Rus), Aleksandr Mikhailovich Prokhorov (Rus) ;for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle
Nobel Prize;chemistry;1964;Dorothy Crowfoot Hodgkin (GB) ;for her determinations by X-ray techniques of the structures of important biochemical substances
Nobel Prize;peace;1964;Martin Luther King Jr (US);campaigner for human rights
Nobel Prize;medicine;1965;François Jacob (Fra), André Lwoff (Fra), Jacques Monod (Fra) ;for their discoveries concerning genetic control of enzyme and virus synthesis
Nobel Prize;literature;1965;Michail Sjolochow (Rus);for the artistic power and integrity with which, in his epic of the Don, he has given expression to a historic phase in the life of the Russian people
Nobel Prize;physics;1965;Sin-Itiro Tomonaga (Jap), Julian Schwinger (US), Richard Phillips Feynman (US) ;for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles
Nobel Prize;chemistry;1965;Robert Burns Woodward (US) ;for his outstanding achievements in the art of organic synthesis
Nobel Prize;peace;1965;UNICEF kinderfonds van de VN (UN);
Nobel Prize;medicine;1966;Charles Brenton Huggins (US) ;for his discoveries concerning hormonal treatment of prostatic cancer
Nobel Prize;medicine;1966;Peyton Rous (US) ;for his discovery of tumour-inducing viruses
Turing Award;informatics;1966;Alan J. Perlis (US) ;for his influence in the area of advanced programming techniques and compiler construction
Nobel Prize;literature;1966;Nelly Sachs (Ger);for her outstanding lyrical and dramatic writing, which interprets Israel's destiny with touching strength
Nobel Prize;literature;1966;Shmuel Yosef Agnon (Isr);for his profoundly characteristic narrative art with motifs from the life of the Jewish people
Nobel Prize;physics;1966;Alfred Kastler (Fra) ;for the discovery and development of optical methods for studying Hertzian resonances in atoms
Nobel Prize;chemistry;1966;Robert Sanderson Mulliken (US) ;for his fundamental work concerning chemical bonds and the electronic structure of molecules by the molecular orbital method
Nobel Prize;medicine;1967;Ragnar Granit (Swe), Haldan Keffer Hartline (US), George Wald (US) ;for their discoveries concerning the primary physiological and chemical visual processes in the eye
Turing Award;informatics;1967;Maurice V. Wilkes (GB) ;"professor Wilkes is best known as the builder and designer of the EDSAC, the first computer with an internally stored program. Built in 1949, the EDSAC used a mercury delay line memory. He is also known as the author, with Wheeler and Gill, of a volume on ""Preparation of Programs for Electronic Digital Computers"" in 1951, in which program libraries were effectively introduced"
Nobel Prize;literature;1967;Miguel µngel Asturias (Gua);for his vivid literary achievement, deep-rooted in the national traits and traditions of Indian peoples of Latin America
Nobel Prize;physics;1967;Hans Albrecht Bethe (US) ;for his contributions to the theory of nuclear reactions, especially his discoveries concerning the energy production in stars
Nobel Prize;chemistry;1967;Manfred Eigen (Ger), Ronald George Wreyford Norrish (GB), George Porter (GB) ;for their studies of extremely fast chemical reactions, effected by disturbing the equlibrium by means of very short pulses of energy
Nobel Prize;medicine;1968;Robert W. Holley (US), Har Gobind Khorana (US), Marshall W. Nirenberg (US) ;for their interpretation of the genetic code and its function in protein synthesis
Turing Award;informatics;1968;Richard Hamming (US) ;for his work on numerical methods, automatic coding systems, and error-detecting and error-correcting codes
Nobel Prize;literature;1968;Yasunari Kawabata (Jap);for his narrative mastery, which with great sensibility expresses the essence of the Japanese mind
Nobel Prize;physics;1968;Luis Walter Alvarez (US) ;for his decisive contributions to elementary particle physics, in particular the discovery of a large number of resonance states, made possible through his development of the technique of using hydrogen bubble chamber and data analysis
Nobel Prize;chemistry;1968;Lars Onsager (US) ;for the discovery of the reciprocal relations bearing his name, which are fundamental for the thermodynamics of irreversible processes
Nobel Prize;peace;1968;René Cassin (Fra);president of the European Court of Human Rights
Nobel Prize;economics;1969;Ragnar Frisch (Nor), Jan Tinbergen (Net);for having developed and applied dynamic models for the analysis of economic processes
Nobel Prize;medicine;1969;Max Delbrück (US), Alfred Hershey (US), Salvador E. Luria (US) ;for their discoveries concerning the replication mechanism and the genetic structure of viruses
Turing Award;informatics;1969;Marvin Minsky (US) ;artificial intelligence
Nobel Prize;literature;1969;Samuel Beckett (Ier);for his writing, which - in new forms for the novel and drama - in the destitution of modern man acquires its elevation
Nobel Prize;physics;1969;Murray Gell-Mann (US) ;for his contributions and discoveries concerning the classification of elementary particles and their interactions
Nobel Prize;chemistry;1969;Derek Harold Richard Barton (GB), Odd Hassel (Nor) ;for their contributions to the development of the concept of conformation and its application in chemistry
Nobel Prize;peace;1969;Internationale Arbeidsorganisatie (UN).;
Nobel Prize;economics;1970;Paul Samuelson (US);for the scientific work through which he has developed static and dynamic economic theory and actively contributed to raising the level of analysis in economic science
Nobel Prize;medicine;1970;Bernard Katz (GB), Ulf von Euler (Swe), Julius Axelrod (US) ;for their discoveries concerning the humoral transmittors in the nerve terminals and the mechanism for their storage, release and inactivation
Turing Award;informatics;1970;James H. Wilkinson (GB) ;"for his research in numerical analysis to facilitate the use of the high-speed digital computer, having received special recognition for his work in computations in linear algebra and ""backward"" error analysis"
Nobel Prize;literature;1970;Aleksandr Solzjenitsyn (Rus);for the ethical force with which he has pursued the indispensable traditions of Russian literature
Nobel Prize;physics;1970;Hannes Olof Gösta Alfvén (Swe);for fundamental work and discoveries in magnetohydro-dynamics with fruitful applications in different parts of plasma physics
Nobel Prize;physics;1970;Louis Eugène Félix Néel (Fra) ;for fundamental work and discoveries concerning antiferromagnetism and ferrimagnetism which have led to important applications in solid state physics
Nobel Prize;chemistry;1970;Luis Federico Leloir (Arg) ;for his discovery of sugar nucleotides and their role in the biosynthesis of carbohydrates
Nobel Prize;peace;1970;Norman Borlaug (US);led research at the International Maize and Wheat Improvement Center, Mexico City
Nobel Prize;economics;1971;Simon Kuznets (US);for his empirically founded interpretation of economic growth which has led to new and deepened insight into the economic and social structure and process of development
Nobel Prize;medicine;1971;Earl Wilbur Sutherland jr. (US) ;for his discoveries concerning the mechanisms of the action of hormones
Turing Award;informatics;1971;John McCarthy (US) ;"dr. McCarthy's lecture ""The Present State of Research on Artificial Intelligence"" is a topic that covers the area in which he has achieved considerable recognition for his work"
Nobel Prize;literature;1971;Pablo Neruda (Chi);for a poetry that with the action of an elemental force brings alive a continent's destiny and dreams
Nobel Prize;physics;1971;Dennis Gabor (GB) ;for his invention and development of the holographic method
Nobel Prize;chemistry;1971;Gerhard Herzberg (Can) ;for his contributions to the knowledge of electronic structure and geometry of molecules, particularly free radicals
Nobel Prize;peace;1971;Willy Brandt (Ger);"chancellor, initiator of West Germany's ""Ostpolitik"", embodying a new attitude towards Eastern Europe and East Germany"
Nobel Prize;economics;1972;John Hicks (GB), Kenneth Arrow (US);for their pioneering contributions to general economic equilibrium theory and welfare theory
Nobel Prize;medicine;1972;Gerald M. Edelman (US), Rodney R. Porter (GB) ;for their discoveries concerning the chemical structure of antibodies
Turing Award;informatics;1972;Edsger W. Dijkstra (Net) ;edsger Dijkstra was a principal contributor in the late 1950's to the development of the ALGOL, a high level programming language which has become a model of clarity and mathematical rigor. He is one of the principal proponents of the science and art of programming languages in general, and has greatly contributed to our understanding of their structure, representation, and implementation. His fifteen years of publications extend from theoretical articles on graph theory to basic manuals, expository texts, and philosophical contemplations in the field of programming languages
Nobel Prize;literature;1972;Heinrich Böll (Ger);for his writing which through its combination of a broad perspective on his time and a sensitive skill in characterization has contributed to a renewal of German literature
Nobel Prize;physics;1972;John Bardeen (US), Leon Neil Cooper (US), John Robert Schrieffer (US) ;for their jointly developed theory of superconductivity, usually called the BCS-theory
Nobel Prize;chemistry;1972;Christian Boehmer Anfinsen (US);for his work on ribonuclease, especially concerning the connection between the amino acid sequence and the biologically active conformation
Nobel Prize;chemistry;1972;Stanford Moore (US), William Howard Stein (US) ;for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule
Nobel Prize;economics;1973;Wassily Leontief (US);for the development of the input-output method and for its application to important economic problems
Nobel Prize;medicine;1973;Karl von Frisch (Aut), Konrad Lorenz (Aut), Nikolaas Tinbergen (Net) ;for their discoveries concerning organization and elicitation of individual and social behaviour patterns
Turing Award;informatics;1973;Charles W. Bachman (US) ;for his outstanding contributions to database technology
Nobel Prize;literature;1973;Patrick White (Aus);for an epic and psychological narrative art which has introduced a new continent into literature
Nobel Prize;physics;1973;Brian David Josephson (GB) ;for his theoretical predictions of the properties of a supercurrent through a tunnel barrier, in particular those phenomena which are generally known as the Josephson effects
Nobel Prize;physics;1973;Leo Esaki (Jap), Ivar Giaever (Nor);for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively
Nobel Prize;chemistry;1973;Ernst Otto Fischer (Ger), Geoffrey Wilkinson (GB) ;for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds
Nobel Prize;peace;1973;Eisaku Sato (Jap), Henry A. Kissinger (US), Le Duc Tho (N-Vie);for the Vietnam peace treaty (peace treaty of Paris)
Nobel Prize;economics;1974;Gunnar Myrdal (Swe), Friedrich Hayek (Aut);for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic, social and institutional phenomena
Nobel Prize;medicine;1974;Albert Claude (Bel), Christian de Duve (Bel), George E. Palade (Rom) ;for their discoveries concerning the structural and functional organization of the cell
Turing Award;informatics;1974;Donald E. Knuth (US) ;"for his major contributions to the analysis of algorithms and the design of programming languages, and in particular for his contributions to ""The Art of Computer Programming"" through his well-known books in a continuous series by this title"
Nobel Prize;literature;1974;Eyvind Johnson (Swe);for a narrative art, farseeing in lands and ages, in the service of freedom
Nobel Prize;literature;1974;Harry Martinson (Swe);for writings that catch the dewdrop and reflect the cosmos
Nobel Prize;physics;1974;Sir Martin Ryle (GB);for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars
Nobel Prize;physics;1974;Anthony Hewish (GB) ;for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars
Nobel Prize;chemistry;1974;Paul John Flory (US) ;for his fundamental achievements, both theoretical and experimental, in the physical chemistry of the macromolecules
Nobel Prize;peace;1974;Séan Mac Bride (Ier);President of the International Peace Bureau, Geneva. UN Commissioner for Namibia
Nobel Prize;economics;1975;Leonid Kantorovich (Rus), Tjalling Koopmans (US);for their contributions to the theory of optimum allocation of resources
Nobel Prize;medicine;1975;David Baltimore (US), Renato Dulbecco (US), Howard Martin Temin (US) ;for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell
Turing Award;informatics;1975;Allen Newell (US), Herbert A. Simon (US) ;in joint scientific efforts extending over twenty years, initially in collaboration with J. C. Shaw at the RAND Corporation, and subsequentially with numerous faculty and student colleagues at Carnegie Mellon University, they have made basic contributions to artificial intelligence, the psychology of human cognition, and list processing
Nobel Prize;literature;1975;Eugenio Montale (Ita);for his distinctive poetry which, with great artistic sensitivity, has interpreted human values under the sign of an outlook on life with no illusions
Nobel Prize;physics;1975;Aage Niels Bohr (Den), Ben Roy Mottelson (Den), Leo James Rainwater (US) ;for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection
Nobel Prize;chemistry;1975;John Warcup Cornforth (GB/Aus);for his work on the stereochemistry of enzyme-catalyzed reactions
Nobel Prize;chemistry;1975;Vladimir Prelog (Swi) ;for his research into the stereochemistry of organic molecules and reactions
Nobel Prize;peace;1975;Andrei Sacharov (Rus);Campaigner for human rights
Nobel Prize;economics;1976;Milton Friedman (US);for his achievements in the fields of consumption analysis, monetary history and theory and for his demonstration of the complexity of stabilisation policy
Nobel Prize;medicine;1976;Baruch S. Blumberg (US) ;for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases
Nobel Prize;medicine;1976;D. Carleton Gajdusek (US) ;for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases
Turing Award;informatics;1976;Michael O. Rabin (Isr), Dana S. Scott (US);"for their joint paper ""Finite Automata and Their Decision Problem,"" which introduced the idea of nondeterministic machines, which has proved to be an enormously valuable concept. Their (Scott & Rabin) classic paper has been a continuous source of inspiration for subsequent work in this field"
Nobel Prize;literature;1976;Saul Bellow (Can);for the human understanding and subtle analysis of contemporary culture that are combined in his work
Nobel Prize;physics;1976;Burton Richter (US), Samuel Chao Chung Ting (US) ;for their pioneering work in the discovery of a heavy elementary particle of a new kind
Nobel Prize;chemistry;1976;William Nunn Lipscomb (US) ;for his studies on the structure of boranes illuminating problems of chemical bonding
Nobel Prize;peace;1976;Betty Williams (GB), Mairead Corrigan (GB);Co-founders of the Peace People
Nobel Prize;economics;1977;Bertil Ohlin (Swe), James Meade (GB);for their pathbreaking contribution to the theory of international trade and international capital movements
Nobel Prize;medicine;1977;Roger Guillemin (Fra) Andrew Wiktor Schally (Pol) ;for their discoveries concerning the peptide hormone production of the brain
Nobel Prize;medicine;1977;Rosalyn Yalow (US) ;for the development of radioimmunoassays of peptide hormones
Turing Award;informatics;1977;John Backus (US) ;for profound, influential, and lasting contributions to the design of practical high-level programming systems, notably through his work on FORTRAN, and for seminal publication of formal procedures for the specification of programming languages
Nobel Prize;literature;1977;Vicente Aleixandre (Spa);for a creative poetic writing which illuminates man's condition in the cosmos and in present-day society, at the same time representing the great renewal of the traditions of Spanish poetry between the wars
Nobel Prize;physics;1977;Philip Warren Anderson (US), Nevill Francis Mott (GB), John Hasbrouck van Vleck (US) ;for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems
Nobel Prize;chemistry;1977;Ilya Prigogine (Bel) ;for his contributions to non-equilibrium thermodynamics, particularly the theory of dissipative structures
Nobel Prize;peace;1977;Amnesty International (GB);for their campaigns against torture
Nobel Prize;economics;1978;Herbert Simon (US);for his pioneering research into the decision-making process within economic organizations
Nobel Prize;medicine;1978;Werner Arber (Swi), Daniel Nathans (US), Hamilton O. Smith (US) ;for the discovery of restriction enzymes and their application to problems of molecular genetics
Turing Award;informatics;1978;Robert W. Floyd (US) ;for having a clear influence on methodologies for the creation of efficient and reliable software, and for helping to found the following important subfields of computer science: the theory of parsing, the semantics of programming languages, automatic program verification, automatic program synthesis, and analysis of algorithms
Nobel Prize;literature;1978;Isaac Bashevis Singer (US);for his impassioned narrative art which, with roots in a Polish-Jewish cultural tradition, brings universal human conditions to life
Nobel Prize;physics;1978;Pyotr Leonidovich Kapitsa (Rus);for his basic inventions and discoveries in the area of low-temperature physics
Nobel Prize;physics;1978;Arno Allan Penzias (US), Robert Woodrow Wilson (US) ;for their discovery of cosmic microwave background radiation
Nobel Prize;chemistry;1978;Peter Dennis Mitchell (GB) ;for his contribution to the understanding of biological energy transfer through the formulation of the chemiosmotic theory
Nobel Prize;peace;1978;Menachem Begin (Isr), Mohamed Anwar Al-Sadat (Egy);for successful peace negotiations between Egypt and Israël
Nobel Prize;economics;1979;Theodore Schultz (US), Arthur Lewis (SLa);for their pioneering research into economic development research with particular consideration of the problems of developing countries
Nobel Prize;medicine;1979;Allan M. Cormack (Z-Afr), Godfrey N. Hounsfield (GB) ;for the development of computer assisted tomography
Turing Award;informatics;1979;Kenneth E. Iverson (Can) ;for his pioneering effort in programming languages and mathematical notation resulting in what the computing field now knows as APL, for his contributions to the implementation of interactive systems, to educational uses of APL, and to programming language theory and practice
Nobel Prize;literature;1979;Odìsseas Elìtis (Gri);for his poetry, which, against the background of Greek tradition, depicts with sensuous strength and intellectual clear-sightedness modern man's struggle for freedom and creativeness
Nobel Prize;physics;1979;Sheldon Lee Glashow (US), Abdus Salam (Pak), Steven Weinberg (US) ;for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current
Nobel Prize;chemistry;1979;Herbert Charles Brown (US), Georg Wittig (Ger) ;for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis
Nobel Prize;peace;1979;Moeder Teresa (Ind);for bringing the attention to poverty and her services to mankind
Nobel Prize;economics;1980;Lawrence Klein (US);for the creation of econometric models and the application to the analysis of economic fluctuations and economic policies
Nobel Prize;medicine;1980;Baruj Benacerraf (Ven), Jean Dausset (Fra), George D. Snell (US) ;for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions
Turing Award;informatics;1980;C. Antony R. Hoare (GB) ;for his fundamental contributions to the definition and design of programming languages
Nobel Prize;literature;1980;Czeslaw Milosz (Pol/VS);who with uncompromising clear-sightedness voices man's exposed condition in a world of severe conflicts
Nobel Prize;physics;1980;James Watson Cronin (US), Val Logsdon Fitch (US) ;for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons
Nobel Prize;chemistry;1980;Paul Berg (US);for his fundamental studies of the biochemistry of nucleic acids, with particular regard to recombinant-DNA
Nobel Prize;chemistry;1980;Walter Gilbert (US), Frederick Sanger (GB) ;for their contributions concerning the determination of base sequences in nucleic acids
Nobel Prize;peace;1980;Adolfo Perez Esquivel (Arg);Human Rights activist
Nobel Prize;economics;1981;James Tobin (US);for his analysis of financial markets and their relations to expenditure decisions, employment, production and prices
Nobel Prize;medicine;1981;Roger W. Sperry (US) ;for his discoveries concerning the functional specialization of the cerebral hemispheres
Nobel Prize;medicine;1981;David H. Hubel (US), Torsten N. Wiesel (Swe) ;for their discoveries concerning information processing in the visual system
Turing Award;informatics;1981;Edgar F. Codd (GB) ;for his fundamental and continuing contributions to the theory and practice of database management systems, esp. relational databases
Nobel Prize;literature;1981;Elias Canetti (GB);for writings marked by a broad outlook, a wealth of ideas and artistic power
Nobel Prize;physics;1981;Manne Börje Siegbahn (Swe) ;for his contribution to the development of high-resolution electron spectroscopy
Nobel Prize;physics;1981;Nicolaas Bloembergen (Ned/VS), Arthur Leonard Schawlow (US);for their contribution to the development of laser spectroscopy
Nobel Prize;chemistry;1981;Kenichi Fukui (Jap), Roald Hoffmann (US) ;for their theories, developed independently, concerning the course of chemical reactions
Nobel Prize;peace;1981;Het Bureau van de Hoge Commissaris voor de Vluchtelingen te Genève (UN);
Nobel Prize;economics;1982;George Stigler (US);for his seminal studies of industrial structures, functioning of markets and causes and effects of public regulation
Nobel Prize;medicine;1982;Sune Bergström (Swe), Bengt I. Samuelsson (Swe), John R. Vane (GB) ;for their discoveries concerning prostaglandins and related biologically active substances
Turing Award;informatics;1982;Stephen A. Cook (US) ;for his advancement of our understanding of the complexity of computation in a significant and profound way
Nobel Prize;literature;1982;Gabriel Garc¡a M rquez (Col);for his novels and short stories, in which the fantastic and the realistic are combined in a richly composed world of imagination, reflecting a continent's life and conflicts
Nobel Prize;physics;1982;Kenneth Geddes Wilson (US) ;for his theory for critical phenomena in connection with phase transitions
Nobel Prize;chemistry;1982;Aaron Klug (GB) ;for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes
Nobel Prize;peace;1982;Alva Myrdal (Swe), Alfonso Garc¡a Robles (Mex);delegates to UN disarmament conferences
Nobel Prize;economics;1983;Gérard Debreu (US);for having incorporated new analytical methods into economic theory and for his rigorous reformulation of the theory of general equilibrium
Nobel Prize;medicine;1983;Barbara McClintock (US) ;for her discovery of mobile genetic elements
Turing Award;informatics;1983;Ken Thompson (US), Dennis M. Ritchie (US) ;for their development of generic operating systems theory and specifically for the implementation of the UNIX operating system
Nobel Prize;literature;1983;William Golding (GB);for his novels which, with the perspicuity of realistic narrative art and the diversity and universality of myth, illuminate the human condition in the world of today
Nobel Prize;physics;1983;Subramanyan Chandrasekhar (Ind);for his theoretical studies of the physical processes of importance to the structure and evolution of the stars
Nobel Prize;physics;1983;William Alfred Fowler (US) ;for his theoretical and experimental studies of the nuclear reactions of importance in the formation of the chemical elements in the universe
Nobel Prize;chemistry;1983;Henry Taube (US) ;for his work on the mechanisms of electron transfer reactions, especially in metal complexes
Nobel Prize;peace;1983;Lech Walesa (Pol);Founder of Solidarity, campaigner for human rights
Nobel Prize;economics;1984;Richard Stone (US);for having made fundamental contributions to the development of systems of national accounts and hence greatly improved the basis for empirical economic analysis
Nobel Prize;medicine;1984;Niels Kaj Jerne (Den), Georges J.F. Köhler (Ger), César Milstein (Arg) ;for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies
Turing Award;informatics;1984;Niklaus Wirth (Swi) ;for developing a sequence of innovative computer languages, EULER, ALGOL-W, MODULA and PASCAL
Nobel Prize;literature;1984;Jaroslav Seifert (Cze);for his poetry which endowed with freshness, and rich inventiveness provides a liberating image of the indomitable spirit and versatility of man
Nobel Prize;physics;1984;Carlo Rubbia (Ita), Simon van der Meer (Net) ;for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction
Nobel Prize;chemistry;1984;Robert Bruce Merrifield (US) ;for his development of methodology for chemical synthesis on a solid matrix
Nobel Prize;peace;1984;Bisschop Desmond Mpilo Tutu (Z-Afr);for devoting himself to the segregation policy
Nobel Prize;economics;1985;Franco Modigliani (Ita);for his pioneering analyses of saving and of financial markets
Nobel Prize;medicine;1985;Michael S. Brown (US), Joseph L. Goldstein (US) ;for their discoveries concerning the regulation of cholesterol metabolism
Turing Award;informatics;1985;Richard M. Karp (US) ;for his continuing contributions to the theory of algorithms including the development of efficient algorithms for network flow and other combinatorial optimization problems, the identification of polynomial-time computability with the intuitive notion of algorithmic efficiency, and, most notably, contributions to the theory of NP-completeness
Nobel Prize;literature;1985;Claude Simon (Fra);who in his novel combines the poet's and the painter's creativeness with a deepened awareness of time in the depiction of the human condition
Nobel Prize;physics;1985;Klaus von Klitzing (Ger) ;for the discovery of the quantized Hall effect
Nobel Prize;chemistry;1985;Herbert Aaron Hauptman (US), Jerome Karle (US) ;for their outstanding achievements in the development of direct methods for the determination of crystal structures
Nobel Prize;peace;1985;International Physicians for the Prevention of Nuclear War (US);for spreading liable information and warning for the catastrophic consequences of nuclear conduct of war
Nobel Prize;economics;1986;James M. Buchanan (US);for his development of the contractual and constitutional bases for the theory of economic and political decision-making
Nobel Prize;medicine;1986;Stanley Cohen (US), Rita Levi-Montalcini (Ita) ;for their discoveries of growth factors
Turing Award;informatics;1986;John Hopcroft (US), Robert Tarjan (US) ;for fundamental achievements in the design and analysis of algorithms and data structures
Nobel Prize;literature;1986;Wole Soyinka (Nig);in a wide cultural perspective and with poetic overtones fashions the drama of existence
Nobel Prize;physics;1986;Ernst Ruska (Ger);for his fundamental work in electron optics, and for the design of the first electron microscope
Nobel Prize;physics;1986;Gerd Binnig (Ger), Heinrich Rohrer (Swi) ;for their design of the scanning tunneling microscope
Nobel Prize;chemistry;1986;Dudley Robert Herschbach (US), Yuan Tseh Lee (US), John Charles Polanyi (Can) ;for their contributions concerning the dynamics of chemical elementary processes
Nobel Prize;peace;1986;Elie Wiesel (US);for bringing his peace message
Nobel Prize;economics;1987;Robert Solow (US);for his contributions to the theory of economic growth
Nobel Prize;medicine;1987;Susumu Tonegawa (Jap) ;for his discovery of the genetic principle for generation of antibody diversity
Turing Award;informatics;1987;John Cocke (US) ;for significant contributions in the design and theory of compilers, the architecture of large systems and the development of reduced instruction set computers (RISC)
Nobel Prize;literature;1987;Joseph Brodsky (Rus/VS);for an all-embracing authorship, imbued with clarity of thought and poetic intensity
Nobel Prize;physics;1987;Johannes Georg Bednorz (Ger), Karl Alexander Müller (Swi) ;for their important break-through in the discovery of superconductivity in ceramic materials
Nobel Prize;chemistry;1987;Donald James Cram (US), Jean-Marie Lehn (Fra), Charles John Pedersen (US) ;for their development and use of molecules with structure-specific interactions of high selectivity
Nobel Prize;peace;1987;Oscar Arias Sanchez (CRi);initiator of peace negotiations in Central America
Nobel Prize;economics;1988;Maurice Allais (Fra);for his pioneering contributions to the theory of markets and efficient utilization of resources
Nobel Prize;medicine;1988;James W. Black (GB), Gertrude B. Elion (US), George H. Hitchings (US) ;for their discoveries of important principles for drug treatment
Turing Award;informatics;1988;Ivan Sutherland (US) ;for his pioneering and visionary contributions to computer graphics, starting with Sketchpad, and continuing after
Nobel Prize;literature;1988;Naguib Mahfouz (Egy);who, through works rich in nuance - now clear-sightedly realistic, now evocatively ambiguous - has formed an Arabian narrative art that applies to all mankind
Nobel Prize;physics;1988;Leon Max Lederman (US), Melvin Schwartz (US), Jack Steinberger (US) ;for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino
Nobel Prize;chemistry;1988;Johann Deisenhofer (Ger), Robert Huber (Ger), Hartmut Michel (Ger) ;for the determination of the three-dimensional structure of a photosynthetic reaction centre
Nobel Prize;peace;1988;VN peaceskorps (UN);for their participation in numerous conflicts since 1956. On the moment the prize was awarded, 736 had died in piece missions
Nobel Prize;economics;1989;Trygve Haavelmo (Nor);for his clarification of the probability theory foundations of econometrics and his analyses of simultaneous economic structures
Nobel Prize;medicine;1989;J. Michael Bishop (US), Harold E. Varmus (US) ;for their discovery of the cellular origin of retroviral oncogenes
Turing Award;informatics;1989;William Morton Kahan (Can) ;"for his fundamental contributions to numerical analysis. One of the foremost experts on floating-point computations. Kahan has dedicated himself to ""making the world safe for numerical computations"
Nobel Prize;literature;1989;Camilo José Cela (Spa);for a rich and intensive prose, which with restrained compassion forms a challenging vision of man's vulnerability
Nobel Prize;physics;1989;Norman Foster Ramsey (US);for the invention of the separated oscillatory fields method and its use in the hydrogen maser and other atomic clocks
Nobel Prize;physics;1989;Hans Georg Dehmelt (US), Wolfgang Paul (Ger) ;for the development of the ion trap technique
Nobel Prize;chemistry;1989;Sidney Altman (Can/VS), Thomas Robert Cech (US) ;for their discovery of catalytic properties of RNA
Nobel Prize;peace;1989;Tenzin Gyatso (Tibet);for refusing to use of violence in the battle of winning freedom for his people
Nobel Prize;economics;1990;Harry Markowitz (US), Merton Miller (US), William Forsyth Sharpe (US);for their pioneering work in the theory of financial economics
Nobel Prize;medicine;1990;Joseph E. Murray (US), Edward Donnall Thomas (US) ;for their discoveries concerning organ and cell transplantation in the treatment of human disease
Turing Award;informatics;1990;Fernando J. Corbat¢ (US) ;for his pioneering work organizing the concepts and leading the development of the general-purpose, large-scale, time-sharing and resource-sharing computer systems, CTSS and Multics
Nobel Prize;literature;1990;Octavio Paz (Mex);for impassioned writing with wide horizons, characterized by sensuous intelligence and humanistic integrity
Nobel Prize;physics;1990;Jerome Isaac Friedman (US), Henry Way Kendall (US), Richard Edward Taylor (US) ;for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics
Nobel Prize;chemistry;1990;Elias James Corey (US) ;for his development of the theory and methodology of organic synthesis
Nobel Prize;peace;1990;Michail Gorbatsjov (Rus);for his efforts to end the Cold war
Nobel Prize;economics;1991;Ronald Coase (GB);for his discovery and clarification of the significance of transaction costs and property rights for the institutional structure and functioning of the economy
Nobel Prize;medicine;1991;Erwin Neher (Ger), Bert Sakmann (Ger) ;for their discoveries concerning the function of single ion channels in cells
Turing Award;informatics;1991;Robin Milner (GB) ;"for three distinct and complete achievements: 1) LCF, the mechanization of Scott's Logic of Computable Functions, probably the first theoretically based yet practical tool for machine assisted proof construction; 2) ML, the first language to include polymorphic type inference together with a type-safe exception-handling mechanism; 3) CCS, a general theory of concurrency. In addition, he formulated and strongly advanced full abstraction, the study of the relationship between operational and denotational semantics"
Nobel Prize;literature;1991;Nadine Gordimer (Z-Afr);who through her magnificent epic writing has - in the words of Alfred Nobel - been of very great benefit to humanity
Nobel Prize;physics;1991;Pierre-Gilles de Gennes (Fra) ;for discovering that methods developed for studying order phenomena in simple systems can be generalized to more complex forms of matter, in particular to liquid crystals and polymers
Nobel Prize;chemistry;1991;Richard Robert Ernst (Swi) ;for his contributions to the development of the methodology of high resolution nuclear magnetic resonance (NMR) spectroscopy
Nobel Prize;peace;1991;Aung San Suu Kyi (Bir);Opposition leader, human rights advocate
Nobel Prize;economics;1992;Gary Becker (US);for having extended the domain of microeconomic analysis to a wide range of human behaviour and interaction, including non-market behaviour
