prize;discipline;year;laureate;motivation
Nobel Prize;chemistry;1930;Hans Fischer (Ger) ;for his researches into the constitution of haemin and chlorophyll and especially for his synthesis of haemin
Nobel Prize;peace;1930;Lars Olof Nathan Söderblom (Swe);leader of the oecumenic movement
Nobel Prize;medicine;1931;Otto Heinrich Warburg (Ger) ;for his discovery of the nature and mode of action of the respiratory enzyme
Nobel Prize;literature;1931;Erik Axel Karlfeldt (Swe);the poetry of Erik Axel Karlfeldt
Nobel Prize;chemistry;1931;Carl Bosch (Ger), Friedrich Bergius (Ger) ;in recognition of their contributions to the invention and development of chemical high pressure methods
Nobel Prize;peace;1931;Jane Addams (US);internationaal voorzitster van de Internationale Vrouwenbeweging voor peace en Vrijheid
Nobel Prize;peace;1931;Nicholas Murray Butler (US);for promoting the Briand-Kellogg Pact
Nobel Prize;medicine;1932;Charles Scott Sherrington (GB), Edgar Douglas Adrian (GB) ;for their discoveries regarding the functions of neurons
Nobel Prize;literature;1932;John Galsworthy (GB);for his distinguished art of narration which takes its highest form in The Forsyte Saga
Nobel Prize;physics;1932;Werner Karl Heisenberg (Ger) ;for the creation of quantum mechanics, the application of which has, inter alia, led to the discovery of the allotropic forms of hydrogen
Nobel Prize;chemistry;1932;Irving Langmuir (US) ;for his discoveries and investigations in surface chemistry
Nobel Prize;medicine;1933;Thomas Hunt Morgan (US) ;for his discoveries concerning the role played by the chromosome in heredity
Nobel Prize;literature;1933;Ivan Boenin (Rus);for the strict artistry with which he has carried on the classical Russian traditions in prose writing
Nobel Prize;physics;1933;Erwin Schrödinger (Ger), Paul Adrien Maurice Dirac (GB) ;for the discovery of new productive forms of atomic theory
Nobel Prize;peace;1933;Sir Norman Angell (GB);writer, member of the executin committee of the League of Nations an the National peace council
Nobel Prize;medicine;1934;George Hoyt Whipple (US), George Richards Minot (US), William Parry Murphy (US) ;for their discoveries concerning liver therapy in cases of anaemia
Nobel Prize;literature;1934;Luigi Pirandello (Ita);for his bold and ingenious revival of dramatic and scenic art
Nobel Prize;chemistry;1934;Harold Clayton Urey (US) ;for his discovery of heavy hydrogen
Nobel Prize;peace;1934;Arthur Henderson (GB);chairman of the League of Nations Disarmament Conference 1932
Nobel Prize;medicine;1935;Hans Spemann (Ger) ;for his discovery of the organizer effect in embryonic development
Nobel Prize;physics;1935;James Chadwick (GB) ;for the discovery of the neutron
Nobel Prize;chemistry;1935;Jean Frédéric Joliot (Fra), Irene Joliot-Curie (Fra) ;in recognition of their synthesis of new radioactive elements
Nobel Prize;peace;1935;Carl Von Ossietzky (Ger);pacifistic journalist
Nobel Prize;medicine;1936;Henry Hallett Dale (GB), Otto Loewi (Aut) ;for their discoveries relating to chemical transmission of nerve impulses
Nobel Prize;literature;1936;Eugene Gladstone O'Neill (US);for the power, honesty and deep-felt emotions of his dramatic works, which embody an original concept of tragedy
Nobel Prize;physics;1936;Victor Franz Hess (Aut);for his discovery of cosmic radiation
Nobel Prize;physics;1936;Carl David Anderson (US) ;for his discovery of the positron
Nobel Prize;chemistry;1936;Petrus Josephus Wilhelmus Debye (Net) ;for his contributions to our knowledge of molecular structure through his investigations on dipole moments and on the diffraction of X-rays and electrons in gases
Nobel Prize;peace;1936;Carlos Saavedra Lamas (Arg);president of the Assembly of the League of Nations, arbitrator in the dispute between Paraguay and Bolivia
Nobel Prize;medicine;1937;Albert Szent-Györgyi von Nagyrapolt (Hun) ;for his discoveries in connection with the biological combustion processes, with special reference to vitamin C and the catalysis of fumaric acid
Nobel Prize;literature;1937;Roger Martin du Gard (Fra);for the artistic power and truth with which he has depicted human conflict as well as some fundamental aspects of contemporary life in his novel cycle Les Thibault
Nobel Prize;physics;1937;Clinton Davisson (US), George Paget Thomson (GB) ;for their experimental discovery of the diffraction of electrons by crystals
Nobel Prize;chemistry;1937;Walter Norman Haworth (GB);for his investigations on carbohydrates and vitamin C
Nobel Prize;chemistry;1937;Paul Karrer (Swi) ;for his investigations on carotenoids, flavins and vitamins A and B2
Nobel Prize;peace;1937;Lord Edgar Algernon Robert Gascoyne Cecil (GB);founder and President of the International Peace Campaign
Nobel Prize;medicine;1938;Corneille Jean François Heymans (Bel) ;for the discovery of the role played by the sinus and aortic mechanisms in the regulation of respiration
Nobel Prize;literature;1938;Pearl S. Buck (US);for her rich and truly epic descriptions of peasant life in China and for her biographical masterpieces
Nobel Prize;physics;1938;Enrico Fermi (Ita) ;for his demonstrations of the existence of new radioactive elements produced by neutron irradiation, and for his related discovery of nuclear reactions brought about by slow neutrons
Nobel Prize;chemistry;1938;Richard Kuhn (Ger) ;for his work on carotenoids and vitamins
Nobel Prize;peace;1938;Het Nansen Internationaal Bureau voor Uitgewekenen (Swi);
Nobel Prize;medicine;1939;Gerhard Domagk (Ger);for the discovery of the antibacterial effects of prontosil
Nobel Prize;literature;1939;Frans Eemil Sillanpää (Fin);for his deep understanding of his country's peasantry and the exquisite art with which he has portrayed their way of life and their relationship with Nature
Nobel Prize;physics;1939;Ernest Orlando Lawrence (US) ;for the invention and development of the cyclotron and for results obtained with it, especially with regard to artificial radioactive elements
Nobel Prize;chemistry;1939;Adolf Friedrich Johann Butenandt (Ger), Lavoslav Ru?icka (Swi) ;for his work on sex hormones
Nobel Prize;medicine;1943;Carl Peter Henrik Dam (Den), Edward Adelbert Doisy (US);for his discovery of vitamin K and its chemical structure
Nobel Prize;physics;1943;Otto Stern (US) ;for his contribution to the development of the molecular ray method and his discovery of the magnetic moment of the proton
Nobel Prize;chemistry;1943;George de Hevesy (Hun) ;for his work on the use of isotopes as tracers in the study of chemical processes
Nobel Prize;medicine;1944;Joseph Erlanger (US), Herbert Spencer Gasser (US) ;for their discoveries relating to the highly differentiated functions of single nerve fibres
Nobel Prize;literature;1944;Johannes Vilhelm Jensen (Den);for the rare strength and fertility of his poetic imagination with which is combined an intellectual curiosity of wide scope and a bold, freshly creative style
Nobel Prize;physics;1944;Isidor Isaac Rabi (US) ;for his resonance method for recording the magnetic properties of atomic nuclei
Nobel Prize;chemistry;1944;Otto Hahn (Ger) ;for his discovery of the fission of heavy nuclei
Nobel Prize;peace;1944;Het Internationaal Comité van het Rode Kruis (Swi);awarded the prize for 1944 in 1945
Nobel Prize;medicine;1945;Alexander Fleming (GB), Ernst Boris Chain (GB), Howard Walter Florey (GB) ;for the discovery of penicillin and its curative effect in various infectious diseases
Nobel Prize;literature;1945;Gabriela Mistral (Chi);for her lyric poetry which, inspired by powerful emotions, has made her name a symbol of the idealistic aspirations of the entire Latin American world
Nobel Prize;physics;1945;Wolfgang Pauli (Aut) ;for the discovery of the Exclusion Principle, also called the Pauli Principle
Nobel Prize;chemistry;1945;Artturi Ilmari Virtanen (Fin) ;for his research and inventions in agricultural and nutrition chemistry, especially for his fodder preservation method
Nobel Prize;peace;1945;Cordell Hull (US);one of the initiators of the United Nations
Nobel Prize;medicine;1946;Hermann Joseph Muller (US) ;for the discovery of the production of mutations by means of X-ray irradiation
Nobel Prize;literature;1946;Hermann Hesse (Ger);for his inspired writings which, while growing in boldness and penetration, exemplify the classical humanitarian ideals and high qualities of style
Nobel Prize;physics;1946;Percy Williams Bridgman (USA) ;for the invention of an apparatus to produce extremely high pressures, and for the discoveries he made therewith in the field of high pressure physics
